Time: 4273466650 - Junction Junction A: 1 cars through from North, 6 cars waiting. 
Time: 2848977767 - Junction Junction A: 2 cars through from North, 5 cars waiting. 
Time: 1709386660 - Junction Junction A: 3 cars through from North, 4 cars waiting. 
Time: 1314912815 - Junction Junction A: 4 cars through from North, 3 cars waiting. 
Time: 1005521565 - Junction Junction A: 5 cars through from North, 2 cars waiting. 
Time: 813993647 - Junction Junction A: 6 cars through from North, 1 cars waiting. 
Time: 712244442 - Junction Junction A: 7 cars through from North, 0 cars waiting. 
Time: 449838597 - Junction Junction A: 1 cars through from South, 14 cars waiting. 
Time: 438304274 - Junction Junction A: 2 cars through from South, 13 cars waiting. 
Time: 427346667 - Junction Junction A: 3 cars through from South, 12 cars waiting. 
Time: 406996826 - Junction Junction A: 4 cars through from South, 11 cars waiting. 
Time: 388496970 - Junction Junction A: 5 cars through from South, 10 cars waiting. 
Time: 363699291 - Junction Junction A: 6 cars through from South, 9 cars waiting. 
Time: 335173857 - Junction Junction A: 7 cars through from South, 8 cars waiting. 
Time: 316553087 - Junction Junction A: 8 cars through from South, 7 cars waiting. 
Time: 305247619 - Junction Junction A: 9 cars through from South, 6 cars waiting. 
Time: 289726554 - Junction Junction A: 10 cars through from South, 5 cars waiting. 
Time: 271331217 - Junction Junction A: 11 cars through from South, 4 cars waiting. 
Time: 258997980 - Junction Junction A: 12 cars through from South, 3 cars waiting. 
Time: 247737198 - Junction Junction A: 13 cars through from South, 2 cars waiting. 
Time: 237414815 - Junction Junction A: 14 cars through from South, 1 cars waiting. 
Time: 230998198 - Junction Junction A: 15 cars through from South, 0 cars waiting. 
Time: 185802900 - Junction Junction A: 1 cars through from North, 13 cars waiting. 
Time: 179935440 - Junction Junction A: 2 cars through from North, 12 cars waiting. 
Time: 174427212 - Junction Junction A: 3 cars through from North, 11 cars waiting. 
Time: 169246206 - Junction Junction A: 4 cars through from North, 10 cars waiting. 
Time: 164364104 - Junction Junction A: 5 cars through from North, 9 cars waiting. 
Time: 161262894 - Junction Junction A: 6 cars through from North, 8 cars waiting. 
Time: 156824466 - Junction Junction A: 7 cars through from North, 7 cars waiting. 
Time: 152623811 - Junction Junction A: 8 cars through from North, 6 cars waiting. 
Time: 147360920 - Junction Junction A: 9 cars through from North, 5 cars waiting. 
Time: 143645939 - Junction Junction A: 10 cars through from North, 4 cars waiting. 
Time: 138974527 - Junction Junction A: 11 cars through from North, 3 cars waiting. 
Time: 136750934 - Junction Junction A: 12 cars through from North, 2 cars waiting. 
Time: 133545834 - Junction Junction A: 13 cars through from North, 1 cars waiting. 
Time: 130487533 - Junction Junction A: 14 cars through from North, 0 cars waiting. 
Time: 101749207 - Junction Junction A: 1 cars through from South, 29 cars waiting. 
Time: 100552158 - Junction Junction A: 2 cars through from South, 28 cars waiting. 
Time: 99382947 - Junction Junction A: 3 cars through from South, 27 cars waiting. 
Time: 98240614 - Junction Junction A: 4 cars through from South, 26 cars waiting. 
Time: 97124244 - Junction Junction A: 5 cars through from South, 25 cars waiting. 
Time: 95496463 - Junction Junction A: 6 cars through from South, 24 cars waiting. 
Time: 94441253 - Junction Junction A: 7 cars through from South, 23 cars waiting. 
Time: 92901450 - Junction Junction A: 8 cars through from South, 22 cars waiting. 
Time: 91411053 - Junction Junction A: 9 cars through from South, 21 cars waiting. 
Time: 90443740 - Junction Junction A: 10 cars through from South, 20 cars waiting. 
Time: 88569258 - Junction Junction A: 11 cars through from South, 19 cars waiting. 
Time: 87213606 - Junction Junction A: 12 cars through from South, 18 cars waiting. 
Time: 85898828 - Junction Junction A: 13 cars through from South, 17 cars waiting. 
Time: 85044114 - Junction Junction A: 14 cars through from South, 16 cars waiting. 
Time: 84206241 - Junction Junction A: 15 cars through from South, 15 cars waiting. 
Time: 83793465 - Junction Junction A: 16 cars through from South, 14 cars waiting. 
Time: 83384716 - Junction Junction A: 17 cars through from South, 13 cars waiting. 
Time: 82579067 - Junction Junction A: 18 cars through from South, 12 cars waiting. 
Time: 81788837 - Junction Junction A: 19 cars through from South, 11 cars waiting. 
Time: 81013587 - Junction Junction A: 20 cars through from South, 10 cars waiting. 
Time: 80631447 - Junction Junction A: 21 cars through from South, 9 cars waiting. 
Time: 79506357 - Junction Junction A: 22 cars through from South, 8 cars waiting. 
Time: 78773580 - Junction Junction A: 23 cars through from South, 7 cars waiting. 
Time: 78054187 - Junction Junction A: 24 cars through from South, 6 cars waiting. 
Time: 77699395 - Junction Junction A: 25 cars through from South, 5 cars waiting. 
Time: 76654111 - Junction Junction A: 26 cars through from South, 4 cars waiting. 
Time: 75972742 - Junction Junction A: 27 cars through from South, 3 cars waiting. 
Time: 75303378 - Junction Junction A: 28 cars through from South, 2 cars waiting. 
Time: 74645707 - Junction Junction A: 29 cars through from South, 1 cars waiting. 
Time: 73999424 - Junction Junction A: 30 cars through from South, 0 cars waiting. 
Time: 61934300 - Junction Junction A: 1 cars through from North, 27 cars waiting. 
Time: 61268340 - Junction Junction A: 2 cars through from North, 26 cars waiting. 
Time: 60616549 - Junction Junction A: 3 cars through from North, 25 cars waiting. 
Time: 59978480 - Junction Junction A: 4 cars through from North, 24 cars waiting. 
Time: 59353705 - Junction Junction A: 5 cars through from North, 23 cars waiting. 
Time: 58340843 - Junction Junction A: 6 cars through from North, 22 cars waiting. 
