Time: 0m0s - Junction Junction B: 1 cars through from North, 6 cars waiting. 
Time: 0m0s - Junction Junction B: 2 cars through from North, 5 cars waiting. 
Time: 0m0s - Junction Junction B: 3 cars through from North, 4 cars waiting. 
Time: 0m1s - Junction Junction B: 4 cars through from North, 3 cars waiting. 
Time: 0m1s - Junction Junction B: 5 cars through from North, 2 cars waiting. 
Time: 0m1s - Junction Junction B: 6 cars through from North, 1 cars waiting. 
Time: 0m2s - Junction Junction B: 7 cars through from North, 0 cars waiting. 
Time: 0m3s - Junction Junction B: 1 cars through from South, 9 cars waiting. 
Time: 0m3s - Junction Junction B: 2 cars through from South, 8 cars waiting. 
Time: 0m3s - Junction Junction B: 3 cars through from South, 7 cars waiting. 
Time: 0m3s - Junction Junction B: 4 cars through from South, 6 cars waiting. 
Time: 0m3s - Junction Junction B: 5 cars through from South, 5 cars waiting. 
Time: 0m4s - Junction Junction B: 6 cars through from South, 4 cars waiting. 
Time: 0m4s - Junction Junction B: 7 cars through from South, 3 cars waiting. 
Time: 0m4s - Junction Junction B: 8 cars through from South, 2 cars waiting. 
Time: 0m5s - Junction Junction B: 9 cars through from South, 1 cars waiting. 
Time: 0m5s - Junction Junction B: 10 cars through from South, 0 cars waiting. 
Time: 0m7s - Junction Junction B: 1 cars through from North, 13 cars waiting. 
Time: 0m8s - Junction Junction B: 2 cars through from North, 12 cars waiting. 
Time: 0m8s - Junction Junction B: 3 cars through from North, 11 cars waiting. 
Time: 0m8s - Junction Junction B: 4 cars through from North, 10 cars waiting. 
Time: 0m8s - Junction Junction B: 5 cars through from North, 9 cars waiting. 
Time: 0m8s - Junction Junction B: 6 cars through from North, 8 cars waiting. 
Time: 0m8s - Junction Junction B: 7 cars through from North, 7 cars waiting. 
Time: 0m9s - Junction Junction B: 8 cars through from North, 6 cars waiting. 
Time: 0m9s - Junction Junction B: 9 cars through from North, 5 cars waiting. 
Time: 0m9s - Junction Junction B: 10 cars through from North, 4 cars waiting. 
Time: 0m10s - Junction Junction B: 11 cars through from North, 3 cars waiting. 
Time: 0m10s - Junction Junction B: 12 cars through from North, 2 cars waiting. 
Time: 0m10s - Junction Junction B: 13 cars through from North, 1 cars waiting. 
Time: 0m11s - Junction Junction B: 14 cars through from North, 0 cars waiting. 
Time: 0m15s - Junction Junction B: 1 cars through from South, 19 cars waiting. 
Time: 0m15s - Junction Junction B: 2 cars through from South, 18 cars waiting. 
Time: 0m15s - Junction Junction B: 3 cars through from South, 17 cars waiting. 
Time: 0m16s - Junction Junction B: 4 cars through from South, 16 cars waiting. 
Time: 0m16s - Junction Junction B: 5 cars through from South, 15 cars waiting. 
Time: 0m16s - Junction Junction B: 6 cars through from South, 14 cars waiting. 
Time: 0m16s - Junction Junction B: 7 cars through from South, 13 cars waiting. 
Time: 0m16s - Junction Junction B: 8 cars through from South, 12 cars waiting. 
Time: 0m16s - Junction Junction B: 9 cars through from South, 11 cars waiting. 
Time: 0m17s - Junction Junction B: 10 cars through from South, 10 cars waiting. 
Time: 0m17s - Junction Junction B: 11 cars through from South, 9 cars waiting. 
Time: 0m17s - Junction Junction B: 12 cars through from South, 8 cars waiting. 
Time: 0m17s - Junction Junction B: 13 cars through from South, 7 cars waiting. 
Time: 0m18s - Junction Junction B: 14 cars through from South, 6 cars waiting. 
Time: 0m18s - Junction Junction B: 15 cars through from South, 5 cars waiting. 
Time: 0m18s - Junction Junction B: 16 cars through from South, 4 cars waiting. 
Time: 0m19s - Junction Junction B: 17 cars through from South, 3 cars waiting. 
Time: 0m19s - Junction Junction B: 18 cars through from South, 2 cars waiting. 
Time: 0m19s - Junction Junction B: 19 cars through from South, 1 cars waiting. 
Time: 0m19s - Junction Junction B: 20 cars through from South, 0 cars waiting. 
Time: 0m25s - Junction Junction B: 1 cars through from North, 27 cars waiting. 
Time: 0m25s - Junction Junction B: 2 cars through from North, 26 cars waiting. 
Time: 0m25s - Junction Junction B: 3 cars through from North, 25 cars waiting. 
Time: 0m25s - Junction Junction B: 4 cars through from North, 24 cars waiting. 
Time: 0m25s - Junction Junction B: 5 cars through from North, 23 cars waiting. 
Time: 0m26s - Junction Junction B: 6 cars through from North, 22 cars waiting. 
Time: 0m26s - Junction Junction B: 7 cars through from North, 21 cars waiting. 
Time: 0m26s - Junction Junction B: 8 cars through from North, 20 cars waiting. 
Time: 0m26s - Junction Junction B: 9 cars through from North, 19 cars waiting. 
Time: 0m26s - Junction Junction B: 10 cars through from North, 18 cars waiting. 
Time: 0m26s - Junction Junction B: 11 cars through from North, 17 cars waiting. 
Time: 0m26s - Junction Junction B: 12 cars through from North, 16 cars waiting. 
Time: 0m27s - Junction Junction B: 13 cars through from North, 15 cars waiting. 
Time: 0m27s - Junction Junction B: 14 cars through from North, 14 cars waiting. 
Time: 0m27s - Junction Junction B: 15 cars through from North, 13 cars waiting. 
Time: 0m27s - Junction Junction B: 16 cars through from North, 12 cars waiting. 
Time: 0m27s - Junction Junction B: 17 cars through from North, 11 cars waiting. 
Time: 0m28s - Junction Junction B: 18 cars through from North, 10 cars waiting. 
Time: 0m28s - Junction Junction B: 19 cars through from North, 9 cars waiting. 
Time: 0m28s - Junction Junction B: 20 cars through from North, 8 cars waiting. 
Time: 0m29s - Junction Junction B: 21 cars through from North, 7 cars waiting. 
Time: 0m29s - Junction Junction B: 22 cars through from North, 6 cars waiting. 
Time: 0m29s - Junction Junction B: 23 cars through from North, 5 cars waiting. 
Time: 0m30s - Junction Junction B: 24 cars through from North, 4 cars waiting. 
Time: 0m30s - Junction Junction B: 25 cars through from North, 3 cars waiting. 
Time: 0m30s - Junction Junction B: 26 cars through from North, 2 cars waiting. 
Time: 0m30s - Junction Junction B: 27 cars through from North, 1 cars waiting. 
Time: 0m31s - Junction Junction B: 28 cars through from North, 0 cars waiting. 
Time: 0m41s - Junction Junction B: 1 cars through from South, 39 cars waiting. 
Time: 0m41s - Junction Junction B: 2 cars through from South, 38 cars waiting. 
Time: 0m41s - Junction Junction B: 3 cars through from South, 37 cars waiting. 
Time: 0m41s - Junction Junction B: 4 cars through from South, 36 cars waiting. 
Time: 0m41s - Junction Junction B: 5 cars through from South, 35 cars waiting. 
Time: 0m41s - Junction Junction B: 6 cars through from South, 34 cars waiting. 
Time: 0m41s - Junction Junction B: 7 cars through from South, 33 cars waiting. 
Time: 0m41s - Junction Junction B: 8 cars through from South, 32 cars waiting. 
Time: 0m41s - Junction Junction B: 9 cars through from South, 31 cars waiting. 
Time: 0m42s - Junction Junction B: 10 cars through from South, 30 cars waiting. 
Time: 0m42s - Junction Junction B: 11 cars through from South, 29 cars waiting. 
Time: 0m42s - Junction Junction B: 12 cars through from South, 28 cars waiting. 
Time: 0m42s - Junction Junction B: 13 cars through from South, 27 cars waiting. 
Time: 0m42s - Junction Junction B: 14 cars through from South, 26 cars waiting. 
Time: 0m42s - Junction Junction B: 15 cars through from South, 25 cars waiting. 
Time: 0m42s - Junction Junction B: 16 cars through from South, 24 cars waiting. 
Time: 0m42s - Junction Junction B: 17 cars through from South, 23 cars waiting. 
Time: 0m43s - Junction Junction B: 18 cars through from South, 22 cars waiting. 
Time: 0m43s - Junction Junction B: 19 cars through from South, 21 cars waiting. 
Time: 0m43s - Junction Junction B: 20 cars through from South, 20 cars waiting. 
Time: 0m43s - Junction Junction B: 21 cars through from South, 19 cars waiting. 
Time: 0m43s - Junction Junction B: 22 cars through from South, 18 cars waiting. 
Time: 0m44s - Junction Junction B: 23 cars through from South, 17 cars waiting. 
Time: 0m44s - Junction Junction B: 24 cars through from South, 16 cars waiting. 
Time: 0m44s - Junction Junction B: 25 cars through from South, 15 cars waiting. 
Time: 0m44s - Junction Junction B: 26 cars through from South, 14 cars waiting. 
Time: 0m45s - Junction Junction B: 27 cars through from South, 13 cars waiting. 
Time: 0m45s - Junction Junction B: 28 cars through from South, 12 cars waiting. 
Time: 0m45s - Junction Junction B: 29 cars through from South, 11 cars waiting. 
Time: 0m46s - Junction Junction B: 30 cars through from South, 10 cars waiting. 
Time: 0m46s - Junction Junction B: 31 cars through from South, 9 cars waiting. 
Time: 0m46s - Junction Junction B: 32 cars through from South, 8 cars waiting. 
Time: 0m46s - Junction Junction B: 33 cars through from South, 7 cars waiting. 
Time: 0m47s - Junction Junction B: 34 cars through from South, 6 cars waiting. 
Time: 0m47s - Junction Junction B: 35 cars through from South, 5 cars waiting. 
Time: 0m47s - Junction Junction B: 36 cars through from South, 4 cars waiting. 
Time: 0m47s - Junction Junction B: 37 cars through from South, 3 cars waiting. 
Time: 0m48s - Junction Junction B: 38 cars through from South, 2 cars waiting. 
Time: 0m48s - Junction Junction B: 39 cars through from South, 1 cars waiting. 
Time: 0m48s - Junction Junction B: 40 cars through from South, 0 cars waiting. 
Time: 1m0s - Junction Junction B: 1 cars through from North, 55 cars waiting. 
Time: 1m0s - Junction Junction B: 2 cars through from North, 54 cars waiting. 
Time: 1m1s - Junction Junction B: 3 cars through from North, 53 cars waiting. 
Time: 1m1s - Junction Junction B: 4 cars through from North, 52 cars waiting. 
Time: 1m1s - Junction Junction B: 5 cars through from North, 51 cars waiting. 
Time: 1m1s - Junction Junction B: 6 cars through from North, 50 cars waiting. 
Time: 1m1s - Junction Junction B: 7 cars through from North, 49 cars waiting. 
Time: 1m1s - Junction Junction B: 8 cars through from North, 48 cars waiting. 
Time: 1m1s - Junction Junction B: 9 cars through from North, 47 cars waiting. 
Time: 1m1s - Junction Junction B: 10 cars through from North, 46 cars waiting. 
Time: 1m1s - Junction Junction B: 11 cars through from North, 45 cars waiting. 
Time: 1m2s - Junction Junction B: 12 cars through from North, 44 cars waiting. 
Time: 1m2s - Junction Junction B: 13 cars through from North, 43 cars waiting. 
Time: 1m2s - Junction Junction B: 14 cars through from North, 42 cars waiting. 
Time: 1m2s - Junction Junction B: 15 cars through from North, 41 cars waiting. 
Time: 1m2s - Junction Junction B: 16 cars through from North, 40 cars waiting. 
Time: 1m2s - Junction Junction B: 17 cars through from North, 39 cars waiting. 
Time: 1m2s - Junction Junction B: 18 cars through from North, 38 cars waiting. 
Time: 1m2s - Junction Junction B: 19 cars through from North, 37 cars waiting. 
Time: 1m2s - Junction Junction B: 20 cars through from North, 36 cars waiting. 
Time: 1m3s - Junction Junction B: 21 cars through from North, 35 cars waiting. 
Time: 1m3s - Junction Junction B: 22 cars through from North, 34 cars waiting. 
Time: 1m3s - Junction Junction B: 23 cars through from North, 33 cars waiting. 
Time: 1m3s - Junction Junction B: 24 cars through from North, 32 cars waiting. 
Time: 1m3s - Junction Junction B: 25 cars through from North, 31 cars waiting. 
Time: 1m4s - Junction Junction B: 26 cars through from North, 30 cars waiting. 
Time: 1m4s - Junction Junction B: 27 cars through from North, 29 cars waiting. 
Time: 1m4s - Junction Junction B: 28 cars through from North, 28 cars waiting. 
Time: 1m4s - Junction Junction B: 29 cars through from North, 27 cars waiting. 
Time: 1m4s - Junction Junction B: 30 cars through from North, 26 cars waiting. 
Time: 1m4s - Junction Junction B: 31 cars through from North, 25 cars waiting. 
Time: 1m5s - Junction Junction B: 32 cars through from North, 24 cars waiting. 
