Time: 0m0s - Junction Junction C: 1 cars through from North, 9 cars waiting. 
Time: 0m0s - Junction Junction C: 2 cars through from North, 8 cars waiting. 
Time: 0m1s - Junction Junction C: 3 cars through from North, 7 cars waiting. 
Time: 0m1s - Junction Junction C: 4 cars through from North, 6 cars waiting. 
Time: 0m1s - Junction Junction C: 5 cars through from North, 5 cars waiting. 
Time: 0m1s - Junction Junction C: 6 cars through from North, 4 cars waiting. 
Time: 0m2s - Junction Junction C: 7 cars through from North, 3 cars waiting. 
Time: 0m2s - Junction Junction C: 8 cars through from North, 2 cars waiting. 
Time: 0m2s - Junction Junction C: 9 cars through from North, 1 cars waiting. 
Time: 0m2s - Junction Junction C: 10 cars through from North, 0 cars waiting. 
Time: 0m3s - Junction Junction C: 1 cars through from South, 9 cars waiting. 
Time: 0m4s - Junction Junction C: 2 cars through from South, 8 cars waiting. 
Time: 0m4s - Junction Junction C: 3 cars through from South, 7 cars waiting. 
Time: 0m4s - Junction Junction C: 4 cars through from South, 6 cars waiting. 
Time: 0m4s - Junction Junction C: 5 cars through from South, 5 cars waiting. 
Time: 0m5s - Junction Junction C: 6 cars through from South, 4 cars waiting. 
Time: 0m5s - Junction Junction C: 7 cars through from South, 3 cars waiting. 
Time: 0m5s - Junction Junction C: 8 cars through from South, 2 cars waiting. 
Time: 0m6s - Junction Junction C: 9 cars through from South, 1 cars waiting. 
Time: 0m6s - Junction Junction C: 10 cars through from South, 0 cars waiting. 
Time: 0m8s - Junction Junction C: 1 cars through from North, 19 cars waiting. 
Time: 0m8s - Junction Junction C: 2 cars through from North, 18 cars waiting. 
Time: 0m8s - Junction Junction C: 3 cars through from North, 17 cars waiting. 
Time: 0m9s - Junction Junction C: 4 cars through from North, 16 cars waiting. 
Time: 0m9s - Junction Junction C: 5 cars through from North, 15 cars waiting. 
Time: 0m9s - Junction Junction C: 6 cars through from North, 14 cars waiting. 
Time: 0m10s - Junction Junction C: 7 cars through from North, 13 cars waiting. 
Time: 0m10s - Junction Junction C: 8 cars through from North, 12 cars waiting. 
Time: 0m10s - Junction Junction C: 9 cars through from North, 11 cars waiting. 
Time: 0m10s - Junction Junction C: 10 cars through from North, 10 cars waiting. 
Time: 0m11s - Junction Junction C: 11 cars through from North, 9 cars waiting. 
Time: 0m11s - Junction Junction C: 12 cars through from North, 8 cars waiting. 
Time: 0m11s - Junction Junction C: 13 cars through from North, 7 cars waiting. 
Time: 0m12s - Junction Junction C: 14 cars through from North, 6 cars waiting. 
Time: 0m12s - Junction Junction C: 15 cars through from North, 5 cars waiting. 
Time: 0m12s - Junction Junction C: 16 cars through from North, 4 cars waiting. 
Time: 0m12s - Junction Junction C: 17 cars through from North, 3 cars waiting. 
Time: 0m13s - Junction Junction C: 18 cars through from North, 2 cars waiting. 
Time: 0m13s - Junction Junction C: 19 cars through from North, 1 cars waiting. 
Time: 0m13s - Junction Junction C: 20 cars through from North, 0 cars waiting. 
Time: 0m17s - Junction Junction C: 1 cars through from South, 19 cars waiting. 
Time: 0m17s - Junction Junction C: 2 cars through from South, 18 cars waiting. 
Time: 0m17s - Junction Junction C: 3 cars through from South, 17 cars waiting. 
Time: 0m18s - Junction Junction C: 4 cars through from South, 16 cars waiting. 
Time: 0m18s - Junction Junction C: 5 cars through from South, 15 cars waiting. 
Time: 0m18s - Junction Junction C: 6 cars through from South, 14 cars waiting. 
Time: 0m18s - Junction Junction C: 7 cars through from South, 13 cars waiting. 
Time: 0m19s - Junction Junction C: 8 cars through from South, 12 cars waiting. 
Time: 0m19s - Junction Junction C: 9 cars through from South, 11 cars waiting. 
Time: 0m19s - Junction Junction C: 10 cars through from South, 10 cars waiting. 
Time: 0m20s - Junction Junction C: 11 cars through from South, 9 cars waiting. 
Time: 0m20s - Junction Junction C: 12 cars through from South, 8 cars waiting. 
Time: 0m20s - Junction Junction C: 13 cars through from South, 7 cars waiting. 
Time: 0m20s - Junction Junction C: 14 cars through from South, 6 cars waiting. 
Time: 0m20s - Junction Junction C: 15 cars through from South, 5 cars waiting. 
Time: 0m21s - Junction Junction C: 16 cars through from South, 4 cars waiting. 
Time: 0m21s - Junction Junction C: 17 cars through from South, 3 cars waiting. 
Time: 0m21s - Junction Junction C: 18 cars through from South, 2 cars waiting. 
Time: 0m21s - Junction Junction C: 19 cars through from South, 1 cars waiting. 
Time: 0m21s - Junction Junction C: 20 cars through from South, 0 cars waiting. 
Time: 0m26s - Junction Junction C: 1 cars through from North, 39 cars waiting. 
Time: 0m26s - Junction Junction C: 2 cars through from North, 38 cars waiting. 
Time: 0m26s - Junction Junction C: 3 cars through from North, 37 cars waiting. 
Time: 0m27s - Junction Junction C: 4 cars through from North, 36 cars waiting. 
Time: 0m27s - Junction Junction C: 5 cars through from North, 35 cars waiting. 
Time: 0m27s - Junction Junction C: 6 cars through from North, 34 cars waiting. 
Time: 0m27s - Junction Junction C: 7 cars through from North, 33 cars waiting. 
