Time: 0m0s - Junction Junction D: 1 cars through from North, 14 cars waiting. 
Time: 0m0s - Junction Junction D: 2 cars through from North, 13 cars waiting. 
Time: 0m0s - Junction Junction D: 3 cars through from North, 12 cars waiting. 
Time: 0m1s - Junction Junction D: 4 cars through from North, 11 cars waiting. 
Time: 0m1s - Junction Junction D: 5 cars through from North, 10 cars waiting. 
Time: 0m2s - Junction Junction D: 6 cars through from North, 9 cars waiting. 
Time: 0m2s - Junction Junction D: 7 cars through from North, 8 cars waiting. 
Time: 0m2s - Junction Junction D: 8 cars through from North, 7 cars waiting. 
Time: 0m2s - Junction Junction D: 9 cars through from North, 6 cars waiting. 
Time: 0m2s - Junction Junction D: 10 cars through from North, 5 cars waiting. 
Time: 0m2s - Junction Junction D: 11 cars through from North, 4 cars waiting. 
Time: 0m2s - Junction Junction D: 12 cars through from North, 3 cars waiting. 
Time: 0m3s - Junction Junction D: 13 cars through from North, 2 cars waiting. 
Time: 0m3s - Junction Junction D: 14 cars through from North, 1 cars waiting. 
Time: 0m3s - Junction Junction D: 15 cars through from North, 0 cars waiting. 
Time: 0m5s - Junction Junction D: 1 cars through from South, 14 cars waiting. 
Time: 0m5s - Junction Junction D: 2 cars through from South, 13 cars waiting. 
Time: 0m6s - Junction Junction D: 3 cars through from South, 12 cars waiting. 
Time: 0m6s - Junction Junction D: 4 cars through from South, 11 cars waiting. 
Time: 0m6s - Junction Junction D: 5 cars through from South, 10 cars waiting. 
Time: 0m6s - Junction Junction D: 6 cars through from South, 9 cars waiting. 
Time: 0m7s - Junction Junction D: 7 cars through from South, 8 cars waiting. 
Time: 0m7s - Junction Junction D: 8 cars through from South, 7 cars waiting. 
Time: 0m7s - Junction Junction D: 9 cars through from South, 6 cars waiting. 
Time: 0m7s - Junction Junction D: 10 cars through from South, 5 cars waiting. 
Time: 0m7s - Junction Junction D: 11 cars through from South, 4 cars waiting. 
Time: 0m7s - Junction Junction D: 12 cars through from South, 3 cars waiting. 
Time: 0m7s - Junction Junction D: 13 cars through from South, 2 cars waiting. 
Time: 0m7s - Junction Junction D: 14 cars through from South, 1 cars waiting. 
Time: 0m7s - Junction Junction D: 15 cars through from South, 0 cars waiting. 
Time: 0m11s - Junction Junction D: 1 cars through from North, 29 cars waiting. 
Time: 0m11s - Junction Junction D: 2 cars through from North, 28 cars waiting. 
Time: 0m11s - Junction Junction D: 3 cars through from North, 27 cars waiting. 
Time: 0m12s - Junction Junction D: 4 cars through from North, 26 cars waiting. 
Time: 0m12s - Junction Junction D: 5 cars through from North, 25 cars waiting. 
Time: 0m12s - Junction Junction D: 6 cars through from North, 24 cars waiting. 
Time: 0m13s - Junction Junction D: 7 cars through from North, 23 cars waiting. 
Time: 0m13s - Junction Junction D: 8 cars through from North, 22 cars waiting. 
Time: 0m13s - Junction Junction D: 9 cars through from North, 21 cars waiting. 
Time: 0m13s - Junction Junction D: 10 cars through from North, 20 cars waiting. 
Time: 0m13s - Junction Junction D: 11 cars through from North, 19 cars waiting. 
Time: 0m13s - Junction Junction D: 12 cars through from North, 18 cars waiting. 
Time: 0m13s - Junction Junction D: 13 cars through from North, 17 cars waiting. 
Time: 0m14s - Junction Junction D: 14 cars through from North, 16 cars waiting. 
Time: 0m14s - Junction Junction D: 15 cars through from North, 15 cars waiting. 
Time: 0m14s - Junction Junction D: 16 cars through from North, 14 cars waiting. 
Time: 0m14s - Junction Junction D: 17 cars through from North, 13 cars waiting. 
Time: 0m14s - Junction Junction D: 18 cars through from North, 12 cars waiting. 
Time: 0m14s - Junction Junction D: 19 cars through from North, 11 cars waiting. 
Time: 0m14s - Junction Junction D: 20 cars through from North, 10 cars waiting. 
Time: 0m14s - Junction Junction D: 21 cars through from North, 9 cars waiting. 
Time: 0m14s - Junction Junction D: 22 cars through from North, 8 cars waiting. 
Time: 0m14s - Junction Junction D: 23 cars through from North, 7 cars waiting. 
